Gene	count_concord	unique_hg38	unique_hg19
APOBEC3G	71	0	0
APOBEC3H	35	0	0
APOBEC4	34	0	0
APOBR	88	0	0
APOC1	20	0	0
APOC2	7	0	0
APOC3	25	0	0
APOC4	16	0	0
APOC4-APOC2	38	0	0
APOD	32	0	0
APOE	39	0	0
APOF	18	0	0
APOH	72	0	0
APOL1	88	0	0
APOL2	39	0	0
APOL3	66	0	0
APOL4	96	1	2
APOL5	42	0	0
APOL6	47	0	0
APOLD1	27	0	0
APOM	23	0	0
APP	102	0	0
APPBP2	66	0	0
APPL1	76	0	0
APPL2	124	0	0
APRT	55	0	0
APTR	5	0	0
APTX	55	0	0
AQP1	53	0	0
AQP10	25	0	0
AQP11	31	0	0
AQP12A	79	0	0
AQP12B	116	0	0
AQP2	19	0	0
AQP3	42	0	0
AQP4	30	0	0
AQP4-AS1	7	0	0
AQP5	25	0	0
AQP6	45	0	0
AQP7	70	0	0
AQP8	54	0	0
AQP9	62	0	0
AQR	156	0	0
ARAP1	188	0	0
ARAP1-AS2	9	0	0
ARAP2	203	0	0
ARAP3	170	0	0
ARC	22	0	0
ARCN1	39	0	0
AREG	20	25	12
AREL1	79	0	0
ARF1	28	0	0
ARF3	12	0	0
ARF4	29	0	0
ARF5	21	0	0
ARF6	62	0	0
ARFGAP1	102	0	0
ARFGAP2	86	0	0
ARFGAP3	98	0	0
ARFGEF1	183	0	0
ARFGEF2	200	0	0
ARFGEF3	223	0	0
ARFIP1	32	0	0
ARFIP2	35	0	0
ARFRP1	54	0	0
ARG1	44	1	0
ARG2	40	0	0
ARGFX	25	0	0
ARGLU1	18	0	0
ARHGAP1	76	0	0
ARHGAP10	122	0	0
ARHGAP11A	98	0	0
ARHGAP11B	38	0	0
ARHGAP12	83	0	0
ARHGAP15	88	0	0
ARHGAP17	109	0	0
ARHGAP18	85	0	0
ARHGAP19	17	0	0
ARHGAP19-SLIT1	50	1	0
ARHGAP20	101	0	0
ARHGAP21	158	0	0
ARHGAP22	100	0	0
ARHGAP23	163	1	3
ARHGAP24	69	0	0
ARHGAP25	86	0	0
ARHGAP26	143	0	0
ARHGAP27	80	0	0
ARHGAP28	81	0	0
ARHGAP29	95	0	0
ARHGAP30	73	0	0
ARHGAP31	125	0	0
ARHGAP32	152	0	0
ARHGAP33	126	0	0
ARHGAP35	60	0	0
ARHGAP39	122	0	1
ARHGAP40	125	0	0
ARHGAP42	120	0	0
ARHGAP44	125	0	0
ARHGAP45	179	0	0
ARHGAP5	66	0	0
ARHGAP8	225	0	0
ARHGAP9	110	0	0
ARHGDIA	20	0	0
ARHGDIB	34	0	0
ARHGDIG	66	0	0
ARHGEF1	159	2	6
ARHGEF10	298	0	0
ARHGEF10L	233	0	0
ARHGEF11	214	0	0
ARHGEF12	216	0	0
ARHGEF15	86	0	0
ARHGEF16	168	0	0
ARHGEF17	215	0	0
ARHGEF18	189	0	0
ARHGEF19	140	0	0
ARHGEF2	91	0	0
ARHGEF25	86	0	0
ARHGEF26	121	0	0
ARHGEF28	204	0	0
ARHGEF3	90	0	0
ARHGEF3-AS1	2	0	0
ARHGEF33	99	0	0
ARHGEF34P	13	0	0
ARHGEF35	35	0	0
ARHGEF37	100	0	0
ARHGEF38	31	0	0
ARHGEF39	47	0	0
ARHGEF4	137	0	0
ARHGEF40	164	0	0
ARHGEF5	82	0	0
ARHGEF7	118	0	0
ARID1A	129	0	0
ARID1B	177	0	0
ARID2	119	0	0
ARID3A	118	0	0
ARID3B	63	0	0
ARID3C	47	0	0
ARID4A	89	0	0
ARID4B	98	0	0
ARID5A	49	0	0
ARID5B	82	0	0
ARIH1	46	0	0
ARIH2	46	0	0
ARIH2OS	16	0	0
ARL1	23	0	0
ARL10	25	0	0
ARL11	76	0	0
ARL13B	56	0	0
ARL14	30	0	0
ARL14EP	14	0	0
ARL15	19	0	0
ARL16	30	0	0
ARL17A	38	0	0
ARL17B	20	0	0
ARL2	7	0	0
ARL2-SNX15	57	0	0
ARL2BP	22	0	0
ARL3	29	0	0
ARL4A	66	0	0
ARL4C	9	0	0
ARL4D	29	0	0
ARL5A	37	0	0
ARL5B	28	0	0
ARL5C	33	0	0
ARL6	30	0	0
ARL6IP1	35	0	0
ARL6IP4	56	0	0
ARL6IP5	27	0	0
ARL6IP6	53	0	0
ARL8A	33	0	0
ARL8B	31	0	0
ARL9	18	0	0
ARMC1	28	0	0
ARMC10	41	0	0
ARMC12	53	0	0
ARMC2	96	0	0
ARMC2-AS1	6	0	0
ARMC3	111	0	0
ARMC4	139	0	0
ARMC5	98	0	0
ARMC6	47	0	0
ARMC7	36	0	0
ARMC8	53	0	0
ARMC9	111	0	0
ARMS2	21	0	0
ARMT1	38	0	0
ARNT	91	0	0
ARNT2	95	0	0
ARNTL	69	0	0
ARNTL2	48	0	0
ARNTL2-AS1	33	0	0
ARPC1A	37	0	0
ARPC1B	55	0	0
ARPC2	42	0	0
ARPC3	33	0	0
ARPC4	32	0	0
ARPC4-TTLL3	122	0	0
ARPC5	24	0	0
ARPC5L	28	0	0
ARPIN	25	0	0
ARPP19	13	0	0
ARPP21	82	0	0
ARRB1	82	0	0
ARRB2	72	0	0
ARRDC1	54	0	0
ARRDC1-AS1	17	0	0
ARRDC2	79	0	0
ARRDC3	36	0	0
ARRDC3-AS1	2	0	0
ARRDC4	60	0	0
ARRDC5	38	0	0
ARSA	71	0	0
ARSB	63	0	0
ARSG	98	0	0
ARSI	48	0	0
ARSJ	29	0	0
ARSK	58	0	0
ART1	59	0	0
ART3	88	0	0
ART4	22	0	0
ART5	50	0	0
ARTN	13	0	0
ARV1	28	0	0
ARVCF	182	0	0
AS3MT	15	0	0
ASAH1	133	0	0
ASAH2	26	92	1
ASAH2B	19	4	1
ASAP1	145	0	0
ASAP2	152	0	0
ASAP3	147	0	0
ASB1	37	0	0
ASB10	103	0	0
ASB13	55	0	0
ASB14	30	0	0
ASB15	45	0	0
ASB16	50	0	0
ASB16-AS1	26	0	0
ASB17	18	0	0
ASB18	55	0	0
ASB2	97	0	0
ASB3	86	0	0
ASB4	23	0	0
ASB5	45	0	0
ASB6	68	0	0
ASB7	19	0	0
ASB8	15	0	0
ASCC1	54	0	0
ASCC2	105	0	0
ASCC3	194	0	0
ASCL1	22	0	0
ASCL2	25	0	0
ASCL3	16	0	0
ASCL4	40	0	0
ASF1A	9	0	0
ASF1B	24	0	0
ASGR1	50	0	0
ASGR2	92	0	0
ASH1L	165	0	0
ASH2L	67	0	0
ASIC1	53	0	0
ASIC2	65	0	0
ASIC3	77	0	0
